name,restaurant_id,user_id,liked,food type
OPTP Bahria Town,84,user_1,0,Burgers | Fast Food
Burger Lab Lucky One Mall,43,user_7,0,Burgers | Fast Food
Broadway Pizza Clifton,5,user_8,0,Pizza | Italian
Broadway Pizza Jinnah Avenue,14,user_8,0,Pizza | Italian
Broadway Pizza Chundrigar,4,user_8,1,Pizza | Italian
OPTP Tipu Sultan,97,user_8,1,Burgers | Fast Food
Broadway Pizza Dolmen Mall TariqRD,9,user_8,0,Pizza | Italian
Karachi Broast Clifton,67,user_8,0,Pakistani | Broast
Burger Lab Dolmen Mall TariqRD,40,user_8,1,Burgers | Fast Food
Broadway Pizza North Nazimabad,20,user_8,1,Pizza | Italian
Kababjees Fried Chicken Safoora,62,user_8,1,Fried Chicken | Fast Food
Burger-O-Clock Nazimabad,35,user_8,0,Burgers | Fast Food
Karachi Broast Atrium Mall,65,user_8,0,Pakistani | Broast
Burger-O-Clock Gulshan,32,user_8,0,Burgers | Fast Food
Burger Lab Nazimabad,45,user_9,0,Burgers | Fast Food
Burger Lab Bahria Town,37,user_9,1,Burgers | Fast Food
Kababjees Fried Chicken Johar Chowrangi,54,user_9,0,Fried Chicken | Fast Food
Broadway Pizza RMR,21,user_9,1,Pizza | Italian
OPTP Johar,91,user_9,1,Burgers | Fast Food
OPTP Tipu Sultan,97,user_9,0,Burgers | Fast Food
OPTP Atrium Mall,82,user_9,0,Burgers | Fast Food
Burger Lab Malir,44,user_9,1,Burgers | Fast Food
Burger-O-Clock Johar,33,user_9,1,Burgers | Fast Food
Burger-O-Clock Dolmen Mall Clifton,30,user_9,1,Burgers | Fast Food
Burger Lab Dolmen Mall TariqRD,40,user_9,0,Burgers | Fast Food
Broadway Pizza Bahdurabad,1,user_9,0,Pizza | Italian
Burger-O-Clock Bahria Town,27,user_9,0,Burgers | Fast Food
OPTP DHA PHASE 2,86,user_9,1,Burgers | Fast Food
Kababjees Fried Chicken Karimabad,55,user_9,1,Fried Chicken | Fast Food
Burger-O-Clock Lucky One Mall,34,user_9,0,Burgers | Fast Food
Karachi Haleem BurnsRD,75,user_9,0,Pakistani | Haleem
Broadway Pizza Tipu Sultan,26,user_10,1,Pizza | Italian
Burger-O-Clock Lucky One Mall,34,user_10,1,Burgers | Fast Food
Burger-O-Clock SMCHS,36,user_10,0,Burgers | Fast Food
Karachi Haleem Lasbela,78,user_10,0,Pakistani | Haleem
OPTP M A JinnahRD,94,user_10,1,Burgers | Fast Food
Burger Lab DHA,39,user_10,0,Burgers | Fast Food
Javed Nihari AlamgirRD,47,user_10,0,Pakistani | Nihari
Burger-O-Clock DHA,29,user_11,0,Burgers | Fast Food
Broadway Pizza Korangi,16,user_11,0,Pizza | Italian
Burger Lab Dolmen Mall TariqRD,40,user_11,0,Burgers | Fast Food
Karachi Haleem Ittehad,77,user_11,0,Pakistani | Haleem
Kababjees Fried Chicken North Karachi,60,user_11,0,Fried Chicken | Fast Food
Karachi Broast Gulshan,68,user_11,0,Pakistani | Broast
Broadway Pizza Lucky One Mall,17,user_11,0,Pizza | Italian
Kababjees Fried Chicken Clifton,49,user_11,0,Fried Chicken | Fast Food
Broadway Pizza Maymar,18,user_11,1,Pizza | Italian
Broadway Pizza Dolmen Mall TariqRD,9,user_11,0,Pizza | Italian
Kababjees Fried Chicken Defence View,50,user_11,1,Fried Chicken | Fast Food
Broadway Pizza Ittehad,13,user_11,0,Pizza | Italian
Zahid Nihari TariqRD,99,user_11,0,Pakistani | Nihari
Broadway Pizza FB Area,10,user_11,1,Pizza | Italian
OPTP Dolmen Mall Clifton,87,user_11,1,Burgers | Fast Food
Burger-O-Clock Chundrigar,28,user_11,0,Burgers | Fast Food
OPTP Tipu Sultan,97,user_11,0,Burgers | Fast Food
OPTP Bahadurabad,83,user_11,0,Burgers | Fast Food
Burger-O-Clock Gulshan,32,user_11,0,Burgers | Fast Food
Broadway Pizza Garden,11,user_12,0,Pizza | Italian
OPTP Lucky One Mall,92,user_12,1,Burgers | Fast Food
Karachi Broast Clifton,67,user_12,1,Pakistani | Broast
Broadway Pizza Maymar,18,user_12,1,Pizza | Italian
Burger-O-Clock Johar,33,user_12,1,Burgers | Fast Food
Burger-O-Clock SMCHS,36,user_12,0,Burgers | Fast Food
OPTP DHA PHASE 2,86,user_12,0,Burgers | Fast Food
Kababjees Fried Chicken Millennium Mall,58,user_12,0,Fried Chicken | Fast Food
OPTP Bahria Town,84,user_12,1,Burgers | Fast Food
Broadway Pizza Korangi,16,user_13,1,Pizza | Italian
Burger Lab SMCHS,46,user_13,0,Burgers | Fast Food
Broadway Pizza Scheme 33,22,user_13,0,Pizza | Italian
OPTP M A JinnahRD,94,user_13,0,Burgers | Fast Food
Kababjees Fried Chicken Gulshan Disco,52,user_13,0,Fried Chicken | Fast Food
Broadway Pizza RMR,21,user_13,0,Pizza | Italian
Kababjees Fried Chicken Karimabad,55,user_14,0,Fried Chicken | Fast Food
Burger Lab Clifton,38,user_14,0,Burgers | Fast Food
OPTP DHA PHASE 2,86,user_14,1,Burgers | Fast Food
Broadway Pizza RMR,21,user_14,0,Pizza | Italian
OPTP Boat Basin,85,user_14,0,Burgers | Fast Food
Burger Lab Johar,42,user_14,0,Burgers | Fast Food
Burger Lab Nazimabad,45,user_14,1,Burgers | Fast Food
Burger-O-Clock DHA,29,user_14,1,Burgers | Fast Food
OPTP Lucky One Mall,92,user_14,1,Burgers | Fast Food
Broadway Pizza Shah Faisal,24,user_14,0,Pizza | Italian
Burger-O-Clock Gulshan,32,user_14,1,Burgers | Fast Food
Burger-O-Clock Chundrigar,28,user_14,1,Burgers | Fast Food
Kababjees Fried Chicken Kharadar,56,user_14,1,Fried Chicken | Fast Food
Broadway Pizza Bahria Town,2,user_14,0,Pizza | Italian
Karachi Haleem Bukhari,74,user_14,1,Pakistani | Haleem
Karachi Broast Atrium Mall,65,user_15,0,Pakistani | Broast
Zahid Nihari TariqRD,99,user_15,0,Pakistani | Nihari
Broadway Pizza Shahbaz,23,user_15,0,Pizza | Italian
Broadway Pizza Maymar,18,user_15,1,Pizza | Italian
OPTP Tipu Sultan,97,user_15,1,Burgers | Fast Food
Burger-O-Clock Gulshan,32,user_15,0,Burgers | Fast Food
OPTP DHA PHASE 2,86,user_15,0,Burgers | Fast Food
Broadway Pizza Shah Faisal,24,user_15,0,Pizza | Italian
Kababjees Fried Chicken Safoora,62,user_15,1,Fried Chicken | Fast Food
Broadway Pizza Garden,11,user_15,1,Pizza | Italian
Kababjees Fried Chicken Johar Chowrangi,54,user_16,0,Fried Chicken | Fast Food
Karachi Broast RMR,71,user_16,1,Pakistani | Broast
Kababjees Fried Chicken Gulshan UniversityRD,53,user_16,1,Fried Chicken | Fast Food
Zahid Nihari Saddar,98,user_16,1,Pakistani | Nihari
OPTP Bahria Town,84,user_16,0,Burgers | Fast Food
Karachi Haleem Bukhari,74,user_16,0,Pakistani | Haleem
Karachi Broast Saddar,72,user_16,0,Pakistani | Broast
Kababjees Fried Chicken PECHS Cloud,61,user_16,0,Fried Chicken | Fast Food
OPTP Dolmen Mall Clifton,87,user_16,0,Burgers | Fast Food
Broadway Pizza Lucky One Mall,17,user_16,0,Pizza | Italian
Burger-O-Clock Chundrigar,28,user_16,0,Burgers | Fast Food
OPTP Malir,93,user_16,0,Burgers | Fast Food
Kababjees Fried Chicken MACHS,57,user_16,1,Fried Chicken | Fast Food
Kababjees Fried Chicken North Karachi,60,user_16,1,Fried Chicken | Fast Food
Broadway Pizza Tipu Sultan,26,user_17,1,Pizza | Italian
Burger Lab Johar,42,user_17,1,Burgers | Fast Food
Burger Lab SMCHS,46,user_17,1,Burgers | Fast Food
OPTP Dolmen Mall Clifton,87,user_17,1,Burgers | Fast Food
OPTP M A JinnahRD,94,user_17,1,Burgers | Fast Food
OPTP Boat Basin,85,user_17,1,Burgers | Fast Food
Zahid Nihari Saddar,98,user_17,0,Pakistani | Nihari
Broadway Pizza Gulshan,12,user_17,0,Pizza | Italian
Karachi Broast Nazimabad,69,user_17,0,Pakistani | Broast
Broadway Pizza Dolmen Mall TariqRD,9,user_17,1,Pizza | Italian
Burger Lab DHA,39,user_17,1,Burgers | Fast Food
OPTP North Nazimabad,95,user_17,0,Burgers | Fast Food
OPTP Johar,91,user_17,0,Burgers | Fast Food
Kababjees Fried Chicken North Five Star,59,user_17,0,Fried Chicken | Fast Food
OPTP Atrium Mall,82,user_17,1,Burgers | Fast Food
Kababjees Fried Chicken PECHS Cloud,61,user_17,0,Fried Chicken | Fast Food
Kababjees Fried Chicken Garden East Branch,51,user_17,1,Fried Chicken | Fast Food
Karachi Haleem BurnsRD,75,user_17,1,Pakistani | Haleem
Broadway Pizza Shahbaz,23,user_17,1,Pizza | Italian
OPTP Sehar,96,user_17,1,Burgers | Fast Food
Broadway Pizza Clifton,5,user_18,0,Pizza | Italian
Karachi Broast TariqRD,73,user_18,0,Pakistani | Broast
Burger-O-Clock Dolmen Mall TariqRD,31,user_18,0,Burgers | Fast Food
Kababjees Fried Chicken Gulshan UniversityRD,53,user_18,1,Fried Chicken | Fast Food
Karachi Broast North Nazimabad,70,user_18,1,Pakistani | Broast
Broadway Pizza Johar,15,user_18,1,Pizza | Italian
Broadway Pizza Chundrigar,4,user_18,0,Pizza | Italian
Broadway Pizza Dolmen Mall Clifton,7,user_18,1,Pizza | Italian
OPTP Boat Basin,85,user_18,1,Burgers | Fast Food
OPTP FB Area,89,user_18,1,Burgers | Fast Food
Broadway Pizza RMR,21,user_18,0,Pizza | Italian
Burger-O-Clock SMCHS,36,user_18,0,Burgers | Fast Food
Karachi Broast RMR,71,user_18,0,Pakistani | Broast
Broadway Pizza Bahdurabad,1,user_18,1,Pizza | Italian
Karachi Broast Gulshan,68,user_18,1,Pakistani | Broast
Kababjees Fried Chicken Shahrah-e-Faisal,63,user_18,0,Fried Chicken | Fast Food
Broadway Pizza Bukhari,3,user_18,0,Pizza | Italian
Karachi Haleem Lasbela,78,user_18,0,Pakistani | Haleem
OPTP Tipu Sultan,97,user_19,1,Burgers | Fast Food
Broadway Pizza FB Area,10,user_19,0,Pizza | Italian
Karachi Broast Saddar,72,user_19,0,Pakistani | Broast
Broadway Pizza Tipu Sultan,26,user_19,0,Pizza | Italian
Broadway Pizza Ittehad,13,user_19,0,Pizza | Italian
OPTP North Nazimabad,95,user_19,1,Burgers | Fast Food
Burger Lab SMCHS,46,user_20,0,Burgers | Fast Food
Karachi Broast RMR,71,user_20,0,Pakistani | Broast
Karachi Broast Nazimabad,69,user_20,0,Pakistani | Broast
Broadway Pizza Clifton,5,user_20,1,Pizza | Italian
Karachi Broast TariqRD,73,user_20,0,Pakistani | Broast
OPTP Malir,93,user_20,0,Burgers | Fast Food
Burger-O-Clock DHA,29,user_20,1,Burgers | Fast Food
Broadway Pizza Gulshan,12,user_20,0,Pizza | Italian
Broadway Pizza Chundrigar,4,user_21,0,Pizza | Italian
OPTP Gulshan,90,user_21,0,Burgers | Fast Food
Broadway Pizza Dolmen Mall Hyderi,8,user_21,1,Pizza | Italian
Broadway Pizza Bukhari,3,user_21,1,Pizza | Italian
Javed Nihari FB Area,48,user_21,0,Pakistani | Nihari
Broadway Pizza FB Area,10,user_21,0,Pizza | Italian
Broadway Pizza Tipu Sultan,26,user_21,1,Pizza | Italian
Javed Nihari AlamgirRD,47,user_21,1,Pakistani | Nihari
OPTP DHA PHASE 2,86,user_21,0,Burgers | Fast Food
Burger-O-Clock Johar,33,user_21,1,Burgers | Fast Food
Karachi Broast Clifton,67,user_21,0,Pakistani | Broast
Broadway Pizza Clifton,5,user_21,0,Pizza | Italian
Burger-O-Clock SMCHS,36,user_21,0,Burgers | Fast Food
Broadway Pizza Gulshan,12,user_21,0,Pizza | Italian
Kababjees Fried Chicken PECHS Cloud,61,user_21,0,Fried Chicken | Fast Food
Broadway Pizza RMR,21,user_21,0,Pizza | Italian
Broadway Pizza Shah Faisal,24,user_21,1,Pizza | Italian
Burger-O-Clock Bahria Town,27,user_21,0,Burgers | Fast Food
Kababjees Fried Chicken Garden East Branch,51,user_21,0,Fried Chicken | Fast Food
OPTP Dolmen Mall TariqRD,88,user_21,1,Burgers | Fast Food
Broadway Pizza Shahbaz,23,user_22,0,Pizza | Italian
Karachi Haleem Ittehad,77,user_22,1,Pakistani | Haleem
Karachi Broast Atrium Mall,65,user_22,0,Pakistani | Broast
OPTP Boat Basin,85,user_22,0,Burgers | Fast Food
Broadway Pizza Korangi,16,user_22,0,Pizza | Italian
OPTP Malir,93,user_23,0,Burgers | Fast Food
Karachi Broast Gulshan,68,user_23,1,Pakistani | Broast
Kababjees Fried Chicken Karimabad,55,user_23,1,Fried Chicken | Fast Food
Kababjees Fried Chicken North Five Star,59,user_23,0,Fried Chicken | Fast Food
OPTP Tipu Sultan,97,user_23,0,Burgers | Fast Food
Broadway Pizza Bahdurabad,1,user_23,1,Pizza | Italian
OPTP DHA PHASE 2,86,user_23,0,Burgers | Fast Food
Kababjees Fried Chicken Defence View,50,user_23,1,Fried Chicken | Fast Food
Burger Lab Malir,44,user_23,0,Burgers | Fast Food
Karachi Haleem Bukhari,74,user_23,0,Pakistani | Haleem
Karachi Broast Clifton,67,user_23,0,Pakistani | Broast
Broadway Pizza Jinnah Avenue,14,user_23,0,Pizza | Italian
Karachi Haleem Lasbela,78,user_23,0,Pakistani | Haleem
Burger Lab Johar,42,user_23,0,Burgers | Fast Food
Broadway Pizza North Karachi,19,user_24,1,Pizza | Italian
Kababjees Fried Chicken Karimabad,55,user_24,1,Fried Chicken | Fast Food
Burger-O-Clock Johar,33,user_24,0,Burgers | Fast Food
OPTP Dolmen Mall Clifton,87,user_24,1,Burgers | Fast Food
Kababjees Fried Chicken Teen Talwar,64,user_24,0,Fried Chicken | Fast Food
Karachi Broast TariqRD,73,user_24,0,Pakistani | Broast
Burger Lab Bahria Town,37,user_24,0,Burgers | Fast Food
Karachi Broast Atrium Mall,65,user_24,1,Pakistani | Broast
OPTP Bahadurabad,83,user_24,0,Burgers | Fast Food
OPTP Boat Basin,85,user_24,1,Burgers | Fast Food
Burger Lab SMCHS,46,user_24,0,Burgers | Fast Food
Broadway Pizza Lucky One Mall,17,user_24,1,Pizza | Italian
Broadway Pizza Garden,11,user_24,0,Pizza | Italian
Kababjees Fried Chicken Shahrah-e-Faisal,63,user_24,0,Fried Chicken | Fast Food
Kababjees Fried Chicken Defence View,50,user_24,0,Fried Chicken | Fast Food
OPTP Malir,93,user_24,1,Burgers | Fast Food
Broadway Pizza North Nazimabad,20,user_24,0,Pizza | Italian
OPTP Bahria Town,84,user_24,1,Burgers | Fast Food
Burger Lab Johar,42,user_25,0,Burgers | Fast Food
Kababjees Fried Chicken Garden East Branch,51,user_25,0,Fried Chicken | Fast Food
Burger Lab Bahria Town,37,user_25,0,Burgers | Fast Food
Burger-O-Clock Nazimabad,35,user_25,0,Burgers | Fast Food
OPTP Tipu Sultan,97,user_25,0,Burgers | Fast Food
Broadway Pizza Shahbaz,23,user_25,0,Pizza | Italian
Broadway Pizza Lucky One Mall,17,user_25,0,Pizza | Italian
OPTP Boat Basin,85,user_26,0,Burgers | Fast Food
Broadway Pizza Shahbaz,23,user_26,0,Pizza | Italian
Karachi Haleem BurnsRD,75,user_26,0,Pakistani | Haleem
Broadway Pizza Bahdurabad,1,user_26,0,Pizza | Italian
Kababjees Fried Chicken Millennium Mall,58,user_26,0,Fried Chicken | Fast Food
Burger Lab Bahria Town,37,user_26,0,Burgers | Fast Food
Burger Lab Lucky One Mall,43,user_26,0,Burgers | Fast Food
OPTP Bahadurabad,83,user_26,0,Burgers | Fast Food
Karachi Haleem Ittehad,77,user_26,0,Pakistani | Haleem
Broadway Pizza Shah Faisal,24,user_26,0,Pizza | Italian
OPTP Johar,91,user_26,0,Burgers | Fast Food
Karachi Haleem Bukhari,74,user_26,0,Pakistani | Haleem
Burger-O-Clock Johar,33,user_26,0,Burgers | Fast Food
Burger Lab Nazimabad,45,user_26,0,Burgers | Fast Food
Burger Lab Clifton,38,user_26,0,Burgers | Fast Food
Javed Nihari FB Area,48,user_26,0,Pakistani | Nihari
Broadway Pizza Maymar,18,user_26,1,Pizza | Italian
Kababjees Fried Chicken Teen Talwar,64,user_27,0,Fried Chicken | Fast Food
Burger Lab Gulshan,41,user_27,0,Burgers | Fast Food
Karachi Haleem BurnsRD,75,user_27,0,Pakistani | Haleem
Burger Lab Johar,42,user_27,1,Burgers | Fast Food
Karachi Broast TariqRD,73,user_27,1,Pakistani | Broast
Karachi Haleem Bukhari,74,user_27,0,Pakistani | Haleem
Karachi Broast Boat Basin,66,user_27,0,Pakistani | Broast
Broadway Pizza Dolmen Mall TariqRD,9,user_28,1,Pizza | Italian
OPTP Boat Basin,85,user_28,0,Burgers | Fast Food
OPTP Bahadurabad,83,user_28,1,Burgers | Fast Food
Karachi Broast TariqRD,73,user_28,0,Pakistani | Broast
Broadway Pizza Jinnah Avenue,14,user_28,0,Pizza | Italian
Kababjees Fried Chicken Gulshan UniversityRD,53,user_28,1,Fried Chicken | Fast Food
Kababjees Fried Chicken Shahrah-e-Faisal,63,user_28,0,Fried Chicken | Fast Food
Karachi Haleem Ittehad,77,user_28,1,Pakistani | Haleem
OPTP Bahadurabad,83,user_29,0,Burgers | Fast Food
Kababjees Fried Chicken Shahrah-e-Faisal,63,user_29,0,Fried Chicken | Fast Food
Kababjees Fried Chicken Johar Chowrangi,54,user_29,0,Fried Chicken | Fast Food
Broadway Pizza Scheme 33,22,user_29,0,Pizza | Italian
OPTP DHA PHASE 2,86,user_29,0,Burgers | Fast Food
Broadway Pizza Clifton,5,user_29,1,Pizza | Italian
Broadway Pizza Bukhari,3,user_29,1,Pizza | Italian
OPTP Boat Basin,85,user_29,0,Burgers | Fast Food
Kababjees Fried Chicken Millennium Mall,58,user_29,0,Fried Chicken | Fast Food
Javed Nihari FB Area,48,user_29,1,Pakistani | Nihari
Burger-O-Clock SMCHS,36,user_29,1,Burgers | Fast Food
Kababjees Fried Chicken Gulshan UniversityRD,53,user_29,1,Fried Chicken | Fast Food
Zahid Nihari Saddar,98,user_30,1,Pakistani | Nihari
Broadway Pizza Gulshan,12,user_30,1,Pizza | Italian
Burger-O-Clock Nazimabad,35,user_30,0,Burgers | Fast Food
Karachi Broast Gulshan,68,user_30,0,Pakistani | Broast
OPTP Bahria Town,84,user_30,1,Burgers | Fast Food
OPTP Atrium Mall,82,user_30,0,Burgers | Fast Food
Karachi Haleem Hussainabad,76,user_31,1,Pakistani | Haleem
Burger-O-Clock Bahria Town,27,user_31,0,Burgers | Fast Food
Kababjees Fried Chicken Gulshan Disco,52,user_31,0,Fried Chicken | Fast Food
Karachi Haleem Ittehad,77,user_31,1,Pakistani | Haleem
Karachi Haleem Bukhari,74,user_31,0,Pakistani | Haleem
Burger Lab Johar,42,user_31,0,Burgers | Fast Food
OPTP Bahadurabad,83,user_31,0,Burgers | Fast Food
Kababjees Fried Chicken Safoora,62,user_31,0,Fried Chicken | Fast Food
Burger Lab Malir,44,user_31,0,Burgers | Fast Food
OPTP Sehar,96,user_31,0,Burgers | Fast Food
Broadway Pizza Bahdurabad,1,user_31,0,Pizza | Italian
Burger-O-Clock Lucky One Mall,34,user_31,0,Burgers | Fast Food
OPTP M A JinnahRD,94,user_31,0,Burgers | Fast Food
Broadway Pizza Gulshan,12,user_31,1,Pizza | Italian
Kababjees Fried Chicken Millennium Mall,58,user_31,1,Fried Chicken | Fast Food
OPTP North Nazimabad,95,user_31,0,Burgers | Fast Food
Kababjees Fried Chicken North Karachi,60,user_31,1,Fried Chicken | Fast Food
Karachi Broast Atrium Mall,65,user_31,0,Pakistani | Broast
Broadway Pizza Maymar,18,user_32,0,Pizza | Italian
OPTP North Nazimabad,95,user_32,1,Burgers | Fast Food
Kababjees Fried Chicken North Karachi,60,user_32,0,Fried Chicken | Fast Food
Karachi Broast Nazimabad,69,user_32,0,Pakistani | Broast
Karachi Haleem Ittehad,77,user_32,0,Pakistani | Haleem
OPTP Boat Basin,85,user_32,0,Burgers | Fast Food
Broadway Pizza Korangi,16,user_32,0,Pizza | Italian
Kababjees Fried Chicken Shahrah-e-Faisal,63,user_33,0,Fried Chicken | Fast Food
Kababjees Fried Chicken Gulshan Disco,52,user_33,0,Fried Chicken | Fast Food
Karachi Broast Saddar,72,user_33,0,Pakistani | Broast
OPTP Dolmen Mall Clifton,87,user_33,1,Burgers | Fast Food
OPTP Boat Basin,85,user_33,0,Burgers | Fast Food
Kababjees Fried Chicken North Five Star,59,user_33,0,Fried Chicken | Fast Food
Kababjees Fried Chicken Kharadar,56,user_33,1,Fried Chicken | Fast Food
Karachi Haleem Hussainabad,76,user_33,0,Pakistani | Haleem
Broadway Pizza Garden,11,user_33,0,Pizza | Italian
Kababjees Fried Chicken Shahrah-e-Faisal,63,user_34,0,Fried Chicken | Fast Food
